loss,configuration
24464.70703125,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24465.578125,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.5, 0.5], 32)]"
24466.534505208332,"[([0.16666666666666666, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.5, 0.5, 0.5], 32)]"
24467.796875,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
24469.90625,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32)]"
24470.26171875,"[([0.7222222222222222, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.7222222222222222, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.7222222222222222, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24475.0947265625,"[([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32)]"
24478.939453125,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666], 32)]"
24480.421875,"[([0.9814814814814814, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9814814814814814, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9814814814814814, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24481.380859375,"[([0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32)]"
24483.4638671875,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.8333333333333333], 32)]"
24485.051432291668,"[([0.8333333333333333, 0.8333333333333333, 0.7222222222222222, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.7222222222222222, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.7222222222222222, 0.5, 0.5], 32)]"
24485.064453125,"[([0.5, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.5, 0.5], 32)]"
24485.259765625,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32)]"
24485.749348958332,"[([0.5, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32)]"
24488.154296875,"[([0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32)]"
24492.0185546875,"[([0.16666666666666666, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.5, 0.5], 32)]"
24493.455729166668,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32)]"
24494.766276041668,"[([0.8333333333333333, 0.9444444444444444, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.9444444444444444, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.9444444444444444, 0.8333333333333333, 0.5, 0.5], 32)]"
24497.138671875,"[([0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32)]"
24497.203125,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32)]"
24499.630859375,"[([0.9444444444444444, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32)]"
24501.48046875,"[([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24504.158203125,"[([0.8333333333333333, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.5, 0.5], 32)]"
24504.65625,"[([0.8333333333333333, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.5, 0.5], 32)]"
24506.5439453125,"[([0.5, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32)]"
