exp. number,configurations,loss,Sihlouette,intermediate errors,intermediate errors percentage,final errors,final errors percentage,training addded,training cancelled,accurate continuations (refers only to conscious continuations)
88,"(88, [0.5, 0.833, 0.167, 0.5, 0.5], 32)",24529.58984375,0.618431757153921,[0.00645649],[2.18302683],[0.04397813],[7.11123451],True,False,True
89,"(89, [0.5, 0.833, 0.167, 0.5, 0.5], 32)",24483.498046875,0.5270070386177816,[0.02854482],[10.25731396],nan,nan,True,False,nan
90,"(90, [0.5, 0.833, 0.833, 0.5, 0.5], 32)",24417.84375,0.6331955166961216,[0.01295797],[3.49456148],[0.02344886],[3.70325686],True,False,True
91,"(91, [0.5, 0.833, 0.833, 0.5, 0.5], 32)",24416.630859375,0.5740707896990689,[0.04689541],[17.9109782],nan,nan,True,False,nan
92,"(92, [0.5, 0.833, 0.833, 0.5, 0.5], 32)",24474.962890625,0.5904008268563077,[0.02090953],[5.79444264],nan,nan,True,False,nan
93,"(93, [0.833, 0.833, 0.833, 0.167, 0.5], 32)",24414.12890625,0.605421845115868,[0.03564774],[8.74058112],nan,nan,True,False,nan
94,"(94, [0.833, 0.833, 0.833, 0.167, 0.5], 32)",24447.35546875,0.6297512919717165,[0.02608825],[7.255992],nan,nan,True,False,nan
95,"(95, [0.833, 0.833, 0.833, 0.167, 0.5], 32)",24522.90234375,0.5624003045315702,[0.03058961],[10.71133938],nan,nan,True,False,nan
96,"(96, [0.833, 0.833, 0.833, 0.833, 0.5], 32)",24358.70703125,0.6720811386389052,[0.07022277],[16.74419834],nan,nan,True,False,nan
97,"(97, [0.833, 0.833, 0.833, 0.833, 0.5], 32)",24413.453125,0.5905677047067871,[0.06809936],[15.79968961],nan,nan,True,False,nan
98,"(98, [0.833, 0.833, 0.833, 0.833, 0.5], 32)",inf,inf,[0.00366939],[1.08110114],nan,nan,False,True,nan
99,"(99, [0.833, 0.5, 0.167, 0.5, 0.5], 32)",inf,inf,[0.00310271],[0.83596339],nan,nan,False,True,nan
100,"(100, [0.833, 0.5, 0.167, 0.5, 0.5], 32)",24553.1015625,0.6623948526705746,[0.00378362],[1.1075097],[0.05821939],[8.78922768],True,False,True
101,"(101, [0.833, 0.5, 0.167, 0.5, 0.5], 32)",24455.21484375,0.5607624635547032,[0.06548646],[24.84855984],nan,nan,True,False,nan
102,"(102, [0.833, 0.5, 0.833, 0.5, 0.5], 32)",24500.46484375,0.6368106151166759,[0.01903203],[5.31714859],nan,nan,True,False,nan
103,"(103, [0.833, 0.5, 0.833, 0.5, 0.5], 32)",24430.69140625,0.5840545806568231,[0.00972514],[2.77824471],[0.02894782],[4.95635607],True,False,False
104,"(104, [0.833, 0.5, 0.833, 0.5, 0.5], 32)",inf,inf,[0.01246759],[3.46430488],nan,nan,False,True,nan
105,"(105, [0.833, 0.833, 0.167, 0.167, 0.5], 32)",24444.0703125,0.674624248601393,[0.0596408],[14.0279828],nan,nan,True,False,nan
106,"(106, [0.833, 0.833, 0.167, 0.167, 0.5], 32)",24415.8046875,0.6696352827032992,[0.00126356],[0.3866785],[0.0600351],[8.96534267],True,False,True
107,"(107, [0.833, 0.833, 0.167, 0.167, 0.5], 32)",24403.390625,0.6473536633068893,[0.02594157],[7.99292281],nan,nan,True,False,nan
108,"(108, [0.833, 0.833, 0.167, 0.833, 0.5], 32)",inf,inf,[0.01118304],[3.16102816],nan,nan,False,True,nan
109,"(109, [0.833, 0.833, 0.167, 0.833, 0.5], 32)",inf,inf,[0.01442611],[3.64327837],nan,nan,False,True,nan
110,"(110, [0.833, 0.833, 0.167, 0.833, 0.5], 32)",inf,inf,[0.01976871],[4.82563059],nan,nan,False,True,nan
111,"(111, [0.833, 0.833, 0.833, 0.5, 0.167], 32)",inf,inf,[0.00916278],[2.81671689],nan,nan,False,True,nan
112,"(112, [0.833, 0.833, 0.833, 0.5, 0.167], 32)",24436.896484375,0.6127546714416974,[0.01078934],[2.99143984],[0.02689329],[4.3889166],True,False,True
113,"(113, [0.833, 0.833, 0.833, 0.5, 0.167], 32)",24461.75390625,0.6112875975560883,[0.00824325],[2.49152778],[0.05426322],[8.87687236],True,False,True
114,"(114, [0.833, 0.833, 0.833, 0.5, 0.833], 32)",24458.744140625,0.5786515154721493,[0.00286366],[0.90940523],[0.10795186],[18.65576423],True,False,False
115,"(115, [0.833, 0.833, 0.833, 0.5, 0.833], 32)",inf,inf,[0.01431628],[3.75292274],nan,nan,False,True,nan
116,"(116, [0.833, 0.833, 0.833, 0.5, 0.833], 32)",24508.18359375,0.6874598185519942,[0.00237299],[0.8611565],[0.03766912],[5.47946458],True,False,True
117,"(117, [0.167, 0.5, 0.167, 0.5, 0.5], 32)",24468.482421875,0.5697078164106509,[0.00089721],[0.27938975],[0.03760401],[6.60057786],True,False,False
118,"(118, [0.167, 0.5, 0.167, 0.5, 0.5], 32)",24515.5546875,0.6201204916140871,[0.07513286],[30.19468463],nan,nan,True,False,nan
119,"(119, [0.167, 0.5, 0.167, 0.5, 0.5], 32)",inf,inf,[0.0145462],[4.21581733],nan,nan,False,True,nan
120,"(120, [0.167, 0.5, 0.833, 0.5, 0.5], 32)",24334.240234375,0.6899247698943711,[0.04117066],[9.87091375],nan,nan,True,False,nan
