losses,i_loss,f_loss
"[525139.75, 522318.84, 519473.34, 516527.12, 513404.53]",510022.06,26559.826
"[527547.0, 525050.25, 522554.5, 520005.62, 517349.03]",514526.25,28940.758
"[526833.44, 524415.0, 522000.62, 519542.1, 516986.88]",514284.2,29745.898
"[524411.5, 521591.75, 518692.56, 515640.2, 512355.44]",508749.38,25875.963
"[526064.9, 523386.44, 520722.47, 518005.06, 515169.84]",512148.8,28183.72
"[523240.12, 520777.62, 518338.2, 515867.47, 513315.2]",510625.94,30064.27
"[524642.5, 521822.06, 518940.12, 515921.66, 512687.84]",509153.62,26017.941
"[527023.6, 524490.8, 521980.3, 519434.2, 516796.53]",514008.44,29186.238
"[526726.56, 524128.12, 521535.88, 518888.56, 516123.8]",513177.3,28233.36
"[524207.16, 521607.28, 519035.7, 516428.12, 513724.56]",510862.06,28657.482
"[525837.9, 522875.66, 519882.84, 516778.44, 513474.34]",509880.5,25901.965
"[527720.0, 525229.3, 522711.44, 520109.5, 517366.38]",514419.84,27826.438
"[525459.56, 523045.44, 520641.06, 518196.78, 515662.97]",512986.62,29760.385
"[523997.62, 521392.62, 518818.8, 516212.9, 513515.34]",510663.72,28968.61
"[522896.5, 520032.25, 517116.22, 514071.12, 510817.3]",507265.22,26075.553
"[526049.9, 523349.75, 520675.44, 517956.97, 515131.28]",512128.56,28264.025
"[526918.25, 524193.38, 521508.34, 518793.94, 515984.28]",513010.12,28551.242
"[525733.2, 522936.97, 520149.3, 517294.25, 514298.97]",511086.7,27362.035
"[524271.2, 521805.2, 519271.2, 516615.22, 513780.12]",510701.8,27569.633
"[525710.75, 523153.3, 520653.8, 518152.5, 515594.75]",512924.06,30460.441
"[526496.44, 523889.3, 521302.0, 518671.62, 515938.97]",513037.88,28709.807
"[524666.2, 522275.3, 519873.94, 517411.88, 514841.66]",512109.84,29443.457
"[526111.5, 523373.1, 520694.9, 518006.6, 515242.38]",512335.44,29007.686
"[526752.9, 524208.7, 521672.7, 519086.62, 516392.94]",513533.25,29000.531
"[526273.1, 523827.94, 521387.84, 518903.9, 516323.62]",513592.66,29607.473
"[526065.1, 523616.4, 521173.72, 518682.4, 516092.38]",513349.78,29416.445
"[525948.1, 523521.12, 521102.28, 518640.38, 516084.84]",513384.7,29700.953
"[527928.3, 525108.0, 522315.78, 519477.28, 516518.78]",513365.7,27656.81
"[523989.2, 521050.38, 518051.84, 514910.62, 511543.0]",507853.88,25718.252
"[521603.75, 518969.78, 516320.38, 513589.16, 510711.03]",507616.12,27715.15
"[526522.1, 523904.5, 521283.5, 518597.94, 515780.6]",512767.28,27980.277
"[526358.4, 523604.3, 520814.5, 517918.3, 514842.44]",511509.34,26731.098
"[526025.8, 523405.38, 520836.8, 518255.75, 515602.72]",512817.2,29424.564
"[527260.2, 524663.75, 522079.44, 519443.56, 516694.0]",513768.1,28393.082
"[524369.56, 521930.53, 519505.06, 517040.34, 514485.6]",511787.8,29644.82
"[524090.8, 521168.34, 518206.06, 515122.7, 511834.78]",508253.94,26104.791
"[526566.5, 523796.62, 521119.84, 518460.1, 515753.75]",512933.8,29430.832
"[526912.44, 524269.62, 521689.88, 519109.0, 516464.3]",513697.1,29513.824
"[526170.6, 523302.5, 520386.72, 517345.72, 514097.62]",510554.75,25898.799
"[524708.7, 521881.8, 519084.56, 516239.84, 513275.5]",510116.8,27884.75
"[524752.6, 521959.0, 519198.12, 516396.25, 513481.8]",510381.0,27985.145
"[525867.5, 523248.7, 520683.1, 518106.56, 515461.56]",512688.06,29769.39
"[524747.3, 522156.44, 519558.75, 516893.97, 514099.5]",511109.84,28128.463
"[527966.5, 525042.4, 522205.7, 519374.62, 516472.44]",513425.4,28450.424
"[523300.16, 520686.75, 518096.28, 515467.25, 512737.38]",509844.06,28852.768
"[524009.94, 521425.0, 518816.34, 516123.5, 513283.6]",510230.0,27857.629
"[527466.94, 525009.25, 522558.06, 520061.9, 517468.4]",514721.53,29400.227
"[525248.9, 522595.88, 519888.0, 517058.88, 514041.84]",510762.1,26919.342
"[525958.94, 523189.16, 520419.12, 517575.56, 514587.3]",511376.0,27274.793
"[523775.6, 521299.5, 518798.38, 516220.7, 513510.62]",510606.72,28563.3
"[526469.25, 523749.97, 520996.1, 518140.06, 515112.03]",511833.6,26977.875
"[524835.8, 522146.22, 519501.1, 516834.38, 514081.8]",511178.28,29031.424
"[525610.5, 523097.88, 520566.56, 517959.97, 515221.5]",512289.2,28315.633
"[526615.3, 523591.03, 520502.94, 517262.03, 513776.75]",509946.2,25210.197
